Z,Z_to_blank_objective,Z_to_original_objective_diagnostic,blank_value,combined_max_disp_px,combined_mean_disp_px,combined_p95_disp_px,components_at_boundary,dct_grad_norm,dct_max_disp,dct_mean_disp,dct_num_at_max,dct_num_at_min,dct_p95_disp,dct_param_max,dct_param_mean_abs,dct_param_min,delaunay_grad_norm,delaunay_max_disp,delaunay_mean_disp,delaunay_num_at_max,delaunay_num_at_min,delaunay_p95_disp,delaunay_param_max,delaunay_param_mean_abs,delaunay_param_min,face_id,fft_phase_grad_norm,fft_phase_max_abs,fft_phase_mean_abs,fft_phase_norm,fft_phase_num_at_max,fft_phase_num_at_min,fft_phase_num_clamped,fft_spatial_delta_mse,foldover_fraction,fraction_clamped_total,iter,iteration_count,jacobian_det_min,l2_to_blank,l2_to_original,legacy_fft_strength_equivalent,loss,model_name,mse_to_blank,mse_to_original,num_at_max_total,num_at_min_total,num_clamped_total,num_total_params,objective_name,peak_vram_gb,prompt,psnr_to_blank,psnr_to_original,rolling_grad_norm,rolling_max_disp,rolling_mean_disp,rolling_num_at_max,rolling_num_at_min,rolling_p95_disp,rolling_param_max,rolling_param_mean_abs,rolling_param_min,scaled_Z,seconds_elapsed,seconds_iter,seed,smoothness_tv,ssim_to_blank,ssim_to_original,total_grad_norm,tps_grad_norm,tps_max_disp,tps_mean_disp,tps_num_at_max,tps_num_at_min,tps_p95_disp,tps_param_max,tps_param_mean_abs,tps_param_min,unet_prediction_Z_to_blank,unet_prediction_Z_to_original_diagnostic,vae_conditioning_Z_to_blank,vae_conditioning_Z_to_original_diagnostic
126.47459411621094,126.47459411621094,8.519915354554541e-06,0.0,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,,2.2472984790802,9.999999974752427e-07,9.999999974752427e-07,0,0,9.999999974752427e-07,0.05000000074505806,0.04999999329447746,-0.05000000074505806,0.7685246467590332,9.999999974752427e-07,9.999999974752427e-07,0,0,9.999999974752427e-07,0.04999999329447746,0.01799999549984932,-0.05000000074505806,face_002,0.5485184788703918,0.0,0.0,0.0,0,0,0,2.0752415627947607e-14,0.0,0.0,1,150,1.0,0.5850350856781006,9.999999974752427e-07,0.0,-126.47459411621094,instruct,0.3422660231590271,1.6795553392078694e-13,0,0,0,324,vae_conditioning,4.361203193664551,add black sunglasses,4.656362112534072,100.0,0.10652343183755875,9.999999974752427e-07,9.999999974752427e-07,0,0,9.999999974752427e-07,0.04999999329447746,0.049999967217445374,-0.04999994486570358,126.47459411621094,2.337084386497736,0.7191114369779825,1234,0.0,4.908831670036307e-06,1.0,2.5882773399353027,0.8637005686759949,9.999999974752427e-07,9.999999974752427e-07,0,0,9.999999974752427e-07,0.04999999701976776,0.01799999363720417,-0.05000000074505806,0.0022692037746310234,1.4532041348047642e-07,126.47459411621094,8.519915354554541e-06
126.75737762451172,126.75737762451172,0.8599613904953003,0.0,0.9211466908454895,0.257800817489624,0.4982931613922119,,3.9110336303710938,0.8771721124649048,0.22405533492565155,0,0,0.46208637952804565,0.09930198639631271,0.0713934674859047,-0.09858763217926025,0.8185915946960449,0.07057243585586548,0.030167557299137115,0,0,0.06489883363246918,0.10006686300039291,0.024793900549411774,-0.0858970656991005,face_002,0.7264494299888611,0.08417413383722305,0.035798463970422745,0.04164203256368637,0,0,0,8.373859600396827e-06,0.0,0.0,2,150,0.9151250123977661,0.5851152539253235,0.009868812747299671,11395.0048828125,-126.75737762451172,instruct,0.34235987067222595,9.739346569404006e-05,0,0,0,324,vae_conditioning,5.1030731201171875,add black sunglasses,4.655171463516991,40.11470179756049,0.8688156008720398,0.037469252943992615,0.01734609715640545,0,0,0.03076147474348545,0.09168193489313126,0.05259314551949501,-0.01350435707718134,126.75737762451172,2.5954161640256643,0.1434420496225357,1234,0.004908722825348377,4.919205366604729e-06,0.9992582201957703,4.268462181091309,0.9853548407554626,0.0764697790145874,0.037797119468450546,0,0,0.07134714722633362,0.10006766766309738,0.02537344954907894,-0.0961802676320076,0.0023300452157855034,2.9243445169413462e-05,126.75737762451172,0.8599613904953003
126.93798065185547,126.93798065185547,1.5551083087921143,0.0,1.4251779317855835,0.418515682220459,0.794197678565979,,3.1744933128356934,1.3291107416152954,0.3444426357746124,0,0,0.6776347756385803,0.14114467799663544,0.0788910910487175,-0.13693858683109283,0.4292394816875458,0.12987828254699707,0.04715391993522644,0,0,0.10495280474424362,0.14880752563476562,0.028056243434548378,-0.11337852478027344,face_002,4.708902835845947,0.1701083779335022,0.05375276505947113,0.06377644836902618,0,0,0,2.6384199372841977e-05,0.0,0.0,3,150,0.869537353515625,0.584945559501648,0.017157014459371567,17110.037109375,-126.93798065185547,instruct,0.34216129779815674,0.00029436315526254475,0,0,0,324,vae_conditioning,5.110641002655029,add black sunglasses,4.657691154940873,35.311165505422665,0.16432008147239685,0.085029236972332,0.050148703157901764,0,0,0.08473199605941772,0.1196572557091713,0.06232709437608719,0.004996936768293381,126.93798065185547,2.806199437007308,0.1290022786706686,1234,0.007603257894515991,4.931849616696127e-06,0.9977541565895081,5.71921968460083,0.4970415234565735,0.1360425055027008,0.05869445949792862,0,0,0.11833811551332474,0.14833998680114746,0.02904566191136837,-0.13734212517738342,0.002357476856559515,5.357342161005363e-05,126.93798065185547,1.5551083087921143
127.0173568725586,127.0173568725586,1.8790712356567383,0.0,1.5934187173843384,0.5141490697860718,0.9550806879997253,,2.9791855812072754,1.4649351835250854,0.4063373804092407,0,0,0.7816670536994934,0.16282112896442413,0.08122962713241577,-0.1644224226474762,0.517269492149353,0.16171975433826447,0.05918259918689728,0,0,0.138392835855484,0.19205991923809052,0.030102210119366646,-0.14026692509651184,face_002,3.377718448638916,0.24492478370666504,0.06280294060707092,0.07717126607894897,0,0,0,4.263870505383238e-05,0.0,0.0,4,150,0.8546634316444397,0.5851085186004639,0.02075555920600891,19990.796875,-127.0173568725586,instruct,0.3423519730567932,0.00043079323950223625,0,0,0,324,vae_conditioning,5.1182098388671875,add black sunglasses,4.655271648458561,33.65731120763823,0.5206852555274963,0.12216529995203018,0.07555617392063141,0,0,0.1217644140124321,0.12202069908380508,0.06747319549322128,0.012925689108669758,127.0173568725586,3.085146451368928,0.18417589738965034,1234,0.009238382801413536,4.926101155433571e-06,0.9967148303985596,4.604374408721924,0.6140491366386414,0.17111486196517944,0.07442587614059448,0,0,0.15476718544960022,0.1912345290184021,0.03136467561125755,-0.17917151749134064,0.0023605674505233765,6.631121505051851e-05,127.0173568725586,1.8790712356567383
127.08720397949219,127.08720397949219,2.075700283050537,0.0,1.640774130821228,0.5598405599594116,0.9775139689445496,,3.5203938484191895,1.5009491443634033,0.43369340896606445,0,0,0.8311267495155334,0.18597669899463654,0.08038085699081421,-0.19816316664218903,0.6556961536407471,0.1943615972995758,0.06671585142612457,0,0,0.15782761573791504,0.23042581975460052,0.03085961751639843,-0.15443722903728485,face_002,4.474163055419922,0.3242904543876648,0.0682915672659874,0.08655480295419693,0,0,0,5.920868716202676e-05,0.0,0.0,5,150,0.8492384552955627,0.5846632122993469,0.022270865738391876,21737.880859375,-127.08720397949219,instruct,0.3418310880661011,0.0004959914367645979,0,0,0,324,vae_conditioning,5.122848033905029,add black sunglasses,4.66188442605346,33.04525821489613,0.7449201345443726,0.12855291366577148,0.08059556037187576,0,0,0.12810195982456207,0.10770346224308014,0.05496882647275925,0.0022341914009302855,127.08720397949219,3.38455356284976,0.1795416809618473,1234,0.009812448173761368,4.938388428854523e-06,0.996215283870697,5.828341007232666,0.7572360038757324,0.19751609861850739,0.08539080619812012,0,0,0.18088677525520325,0.2294936180114746,0.032899707555770874,-0.1847132444381714,0.0023627623450011015,7.554288458777592e-05,127.08720397949219,2.075700283050537
127.51435852050781,127.51435852050781,2.2020418643951416,0.0,1.5949326753616333,0.5740485787391663,1.0555338859558105,,4.132987976074219,1.4649646282196045,0.44815146923065186,0,0,0.8537829518318176,0.22173094749450684,0.07948175072669983,-0.2121201902627945,0.5257188081741333,0.23444484174251556,0.07150780409574509,0,0,0.1733127385377884,0.2554335296154022,0.032827675342559814,-0.165620356798172,face_002,2.0689404010772705,0.39441099762916565,0.07217779755592346,0.09277941286563873,0,0,0,8.272006380138919e-05,0.0,0.0,6,150,0.8532529473304749,0.5835806131362915,0.022694244980812073,22974.90625,-127.51435852050781,instruct,0.34056633710861206,0.0005150287179276347,0,0,0,324,vae_conditioning,5.122848033905029,add black sunglasses,4.67798281595027,32.88168554085455,0.2193610519170761,0.1088225394487381,0.066982701420784,0,0,0.10844802856445312,0.09098764508962631,0.050950828939676285,-0.010914013721048832,127.51435852050781,3.650024399161339,0.1621510311961174,1234,0.009830128401517868,4.959762009093538e-06,0.9960800409317017,4.694575786590576,0.593666672706604,0.23244039714336395,0.09189588576555252,0,0,0.19944916665554047,0.2626076936721802,0.03441969305276871,-0.1949416548013687,0.0023754218127578497,8.080834959400818e-05,127.51435852050781,2.2020418643951416
127.82359313964844,127.82359313964844,2.28170108795166,0.0,1.6325232982635498,0.5678102374076843,1.125916600227356,,2.5051441192626953,1.5150043964385986,0.45075932145118713,0,0,0.891838014125824,0.24755774438381195,0.0834701657295227,-0.21289561688899994,0.3741282522678375,0.26123273372650146,0.0756247416138649,0,0,0.1858823150396347,0.26851487159729004,0.035702332854270935,-0.1746320128440857,face_002,4.456228733062744,0.4705168604850769,0.07591164112091064,0.09912358224391937,0,0,0,0.00016918487381190062,0.0,0.0,7,150,0.850110650062561,0.5807268619537354,0.023974301293492317,24163.42578125,-127.82359313964844,instruct,0.3372436761856079,0.0005747671239078045,0,0,0,324,vae_conditioning,5.122848033905029,add black sunglasses,4.720561852392883,32.40508081028,0.20377930998802185,0.08559682220220566,0.05084022879600525,0,0,0.08527374267578125,0.0805663987994194,0.05333110690116882,-0.026095818728208542,127.82359313964844,3.8897037990391254,0.1308189481496811,1234,0.009696489199995995,5.026894086768152e-06,0.9957205057144165,5.1511969566345215,0.4686228632926941,0.26413676142692566,0.09734924137592316,0,0,0.21388471126556396,0.28919273614883423,0.03674868121743202,-0.20419840514659882,0.0023844484239816666,8.419340883847326e-05,127.82359313964844,2.28170108795166
128.3443145751953,128.3443145751953,2.5289056301116943,0.0,1.7326005697250366,0.5654873847961426,1.179123044013977,,3.697535753250122,1.623693585395813,0.4577217698097229,0,0,0.9476937055587769,0.25779491662979126,0.08818387985229492,-0.20338022708892822,0.5377806425094604,0.2771522104740143,0.08134837448596954,0,0,0.19819970428943634,0.27162426710128784,0.038109589368104935,-0.17862699925899506,face_002,5.054882526397705,0.5552809238433838,0.07951146364212036,0.10594044625759125,0,0,0,0.0004365139175206423,0.0,0.0,8,150,0.8405839800834656,0.5766417980194092,0.028717927634716034,25309.283203125,-128.3443145751953,instruct,0.33251577615737915,0.0008247193763963878,0,0,0,324,vae_conditioning,5.1262664794921875,add black sunglasses,4.781877448403992,30.836938017710807,0.5862946510314941,0.06794694066047668,0.038642823696136475,0,0,0.06766382604837418,0.08354740589857101,0.058836326003074646,-0.03412524238228798,128.3443145751953,4.186785519123077,0.18874605558812618,1234,0.009885517880320549,5.115016847412335e-06,0.9941625595092773,6.344221591949463,0.6265724301338196,0.29071149230003357,0.10261121392250061,0,0,0.2260458916425705,0.30874496698379517,0.038954298943281174,-0.20655718445777893,0.002396990079432726,9.278470679419115e-05,128.3443145751953,2.5289056301116943
129.22018432617188,129.22018432617188,3.043403148651123,0.0,1.8422499895095825,0.5710306763648987,1.2262506484985352,,3.122488498687744,1.7337827682495117,0.4675503969192505,0,0,0.9987783432006836,0.25373274087905884,0.09246168285608292,-0.19264645874500275,0.5001510977745056,0.2846659719944,0.08584453910589218,0,0,0.20920464396476746,0.26732292771339417,0.041299007833004,-0.18582211434841156,face_002,4.787037372589111,0.648647665977478,0.08325018733739853,0.11374692618846893,0,0,0,0.00109382183291018,0.0,0.0,9,150,0.8300476670265198,0.5711673498153687,0.03833872452378273,26499.357421875,-129.22018432617188,instruct,0.3262321650981903,0.001469857874326408,0,0,0,324,vae_conditioning,5.1262664794921875,add black sunglasses,4.864732216035809,28.32724656666691,0.28116554021835327,0.06719113886356354,0.03782545030117035,0,0,0.06691645830869675,0.09138986468315125,0.06558990478515625,-0.03978993743658066,129.22018432617188,4.438922790810466,0.1409987471997738,1234,0.010205967351794243,5.22298842042801e-06,0.9901424050331116,5.772384166717529,0.5705729126930237,0.3100346624851227,0.10692329704761505,0,0,0.23372416198253632,0.31688547134399414,0.04096100106835365,-0.21866126358509064,0.0024187585804611444,0.00010982782259816304,129.22018432617188,3.043403148651123
130.20034790039062,130.20034790039062,3.895012378692627,0.0,1.9129908084869385,0.5810617208480835,1.272961139678955,,2.45803165435791,1.8031189441680908,0.47984254360198975,0,0,1.051562786102295,0.2423546463251114,0.09744995832443237,-0.2032284289598465,0.4184925854206085,0.28620317578315735,0.0906139686703682,0,0,0.21963319182395935,0.2606208026409149,0.04371553659439087,-0.19113482534885406,face_002,5.6870269775390625,0.7500871419906616,0.08753962814807892,0.12301798164844513,0,0,0,0.002460397547110915,0.0,0.0,10,150,0.8237626552581787,0.5641133189201355,0.053138311952352524,27864.728515625,-130.20034790039062,instruct,0.31822386384010315,0.0028236801736056805,0,0,0,324,vae_conditioning,5.1262664794921875,add black sunglasses,4.972672554076503,25.491844955466387,0.06726869195699692,0.07237392663955688,0.04065646976232529,0,0,0.07204569876194,0.09963633120059967,0.07217640429735184,-0.0447164811193943,130.20034790039062,4.682168798521161,0.16270462982356548,1234,0.010662023909389973,5.350950232241303e-06,0.981817364692688,6.226768970489502,0.4569408595561981,0.31778717041015625,0.11110788583755493,0,0,0.2446504831314087,0.31972551345825195,0.04218721762299538,-0.22779302299022675,0.0024462915025651455,0.0001365447969874367,130.20034790039062,3.895012378692627
