Z,Z_to_blank_objective,Z_to_original_objective_diagnostic,backward_scale,blank_value,combined_max_disp_px,combined_mean_disp_px,combined_p95_disp_px,components_at_boundary,dct_enabled,dct_grad_norm,dct_max_disp,dct_mean_disp,dct_num_at_max,dct_num_at_min,dct_p95_disp,dct_param_max,dct_param_mean_abs,dct_param_min,delaunay_enabled,delaunay_grad_norm,delaunay_max_disp,delaunay_mean_disp,delaunay_num_at_max,delaunay_num_at_min,delaunay_p95_disp,delaunay_param_max,delaunay_param_mean_abs,delaunay_param_min,face_id,fft_phase_enabled,fft_phase_grad_norm,fft_phase_max_abs,fft_phase_mean_abs,fft_phase_norm,fft_phase_num_at_max,fft_phase_num_at_min,fft_phase_num_clamped,fft_spatial_delta_mse,foldover_fraction,fraction_clamped_total,iter,iteration_count,jacobian_det_min,l2_to_blank,l2_to_original,legacy_fft_strength_equivalent,loss,model_name,mse_to_blank,mse_to_original,num_at_max_total,num_at_min_total,num_clamped_total,num_total_params,objective_name,peak_vram_gb,prompt,psnr_to_blank,psnr_to_original,rolling_enabled,rolling_grad_norm,rolling_max_disp,rolling_mean_disp,rolling_num_at_max,rolling_num_at_min,rolling_p95_disp,rolling_param_max,rolling_param_mean_abs,rolling_param_min,scaled_Z,seconds_elapsed,seconds_iter,seed,smoothness_tv,ssim_to_blank,ssim_to_original,total_grad_norm,tps_enabled,tps_grad_norm,tps_max_disp,tps_mean_disp,tps_num_at_max,tps_num_at_min,tps_p95_disp,tps_param_max,tps_param_mean_abs,tps_param_min,unet_prediction_Z_to_blank,unet_prediction_Z_to_original_diagnostic,vae_conditioning_Z_to_blank,vae_conditioning_Z_to_original_diagnostic
127.89280700683594,127.89280700683594,8.685476132086478e-06,1.0,0.0,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,,1,3.1343138217926025,9.999999974752427e-07,9.999999974752427e-07,0,0,9.999999974752427e-07,0.05000000074505806,0.04999999701976776,-0.05000000074505806,1,0.5718713402748108,9.999999974752427e-07,9.999999974752427e-07,0,0,9.999999974752427e-07,0.04999999329447746,0.01799999363720417,-0.04999999701976776,face_005,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1,300,1.0,0.6220681667327881,9.999999974752427e-07,0.0,-127.89280700683594,instruct,0.38696882128715515,9.676858788018258e-14,0,0,0,132,vae_conditioning,5.107464790344238,add headphones,4.123240253904598,100.0,1,0.06589774787425995,9.999999974752427e-07,9.999999974752427e-07,0,0,9.999999974752427e-07,0.049999989569187164,0.049999989569187164,0.049999985843896866,127.89280700683594,0.7193324100226164,0.14880160987377167,1234,0.0,4.201988303975668e-06,1.0,3.252359628677368,1,0.6500316858291626,9.999999974752427e-07,9.999999974752427e-07,0,0,9.999999974752427e-07,0.04999999329447746,0.017999989911913872,-0.04999999701976776,0.0027402397245168686,1.3679255062015727e-07,127.89280700683594,8.685476132086478e-06
127.9093246459961,127.9093246459961,0.517322838306427,1.0,0.0,0.7086664438247681,0.2633754312992096,0.5121452808380127,,1,2.797516345977783,0.71726393699646,0.21438410878181458,0,0,0.4806033670902252,0.10005945712327957,0.0702020525932312,-0.10006697475910187,1,0.5615739822387695,0.0707106739282608,0.032592207193374634,0,0,0.07071065157651901,0.09999319165945053,0.02682088501751423,-0.09882298856973648,face_005,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,2,300,0.9377946853637695,0.6218885779380798,0.007945924997329712,0.0,-127.9093246459961,instruct,0.386745423078537,6.313771882560104e-05,0,0,0,132,vae_conditioning,5.107464790344238,add headphones,4.12574817236862,41.99711113279256,1,0.29593226313591003,0.07755449414253235,0.05327605456113815,0,0,0.07739786058664322,0.02216641791164875,0.021032046526670456,0.019897673279047012,127.9093246459961,0.8684026096016169,0.14553886093199253,1234,0.005068359896540642,4.212192379782209e-06,0.999522864818573,2.941066026687622,1,0.6487146615982056,0.07272312045097351,0.04062192142009735,0,0,0.07017352432012558,0.09998873621225357,0.023121580481529236,-0.09867067635059357,0.0027975388802587986,1.806952423066832e-05,127.9093246459961,0.517322838306427
128.1014862060547,128.1014862060547,0.8765010237693787,1.0,0.0,1.1474668979644775,0.38734474778175354,0.7029051780700684,,1,1.9396830797195435,1.1483744382858276,0.3365117907524109,0,0,0.6822502017021179,0.14659664034843445,0.08494158089160919,-0.14992140233516693,1,0.442449688911438,0.14023654162883759,0.04788218066096306,0,0,0.1058017909526825,0.1499330848455429,0.031103631481528282,-0.14082325994968414,face_005,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,3,300,0.9094428420066833,0.6217450499534607,0.012165932916104794,0.0,-128.1014862060547,instruct,0.3865668773651123,0.0001480099163018167,0,0,0,132,vae_conditioning,5.107464790344238,add headphones,4.127753608450296,38.29709186963888,1,0.31095007061958313,0.032245419919490814,0.022229142487049103,0,0,0.03218117728829384,-0.011789748445153236,0.0156966932117939,-0.019603637978434563,128.1014862060547,1.017672574147582,0.1458819918334484,1234,0.007976140826940536,4.2174219743174035e-06,0.9988808035850525,2.0757718086242676,1,0.5039899945259094,0.13110153377056122,0.05438299849629402,0,0,0.10426189750432968,0.14997713267803192,0.02506258711218834,-0.12582476437091827,0.0028237660881131887,3.175919482600875e-05,128.1014862060547,0.8765010237693787
128.03298950195312,128.03298950195312,1.1853688955307007,1.0,0.0,1.549821376800537,0.49044641852378845,0.942735493183136,,1,2.484280586242676,1.5276044607162476,0.435021311044693,0,0,0.8859559297561646,0.18599151074886322,0.09263408929109573,-0.1862180233001709,1,0.25290247797966003,0.2104301005601883,0.057482048869132996,0,0,0.13592194020748138,0.18754388391971588,0.03477977588772774,-0.18381743133068085,face_005,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,4,300,0.8759113550186157,0.6216142177581787,0.015962673351168633,0.0,-128.03298950195312,instruct,0.38640421628952026,0.00025480694603174925,0,0,0,132,vae_conditioning,5.107464790344238,add headphones,4.129581433815894,35.937887373172885,1,0.9471204280853271,0.025858817622065544,0.017348404973745346,0,0,0.025788921862840652,0.0010779115837067366,0.003543977625668049,-0.0060100434347987175,128.03298950195312,1.1626437902450562,0.14149543084204197,1234,0.010209862142801285,4.220619757688837e-06,0.9980729818344116,2.6903769969940186,1,0.3247798979282379,0.17001713812351227,0.06299987435340881,0,0,0.14089591801166534,0.18982842564582825,0.028062649071216583,-0.14685486257076263,0.002823971211910248,4.319090294302441e-05,128.03298950195312,1.1853688955307007
127.97831726074219,127.97831726074219,1.4050030708312988,1.0,0.0,1.7116643190383911,0.568763792514801,1.0969936847686768,,1,2.7573866844177246,1.696160078048706,0.49333488941192627,0,0,0.9782532453536987,0.21087299287319183,0.09933917224407196,-0.22340545058250427,1,0.58011394739151,0.25786784291267395,0.06759527325630188,0,0,0.1658167541027069,0.22502030432224274,0.03869618847966194,-0.2287987917661667,face_005,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,5,300,0.856545627117157,0.6216120719909668,0.018299464136362076,0.0,-127.97831726074219,instruct,0.38640153408050537,0.00033487039036117494,0,0,0,132,vae_conditioning,5.107464790344238,add headphones,4.129611580293814,34.75123251597946,1,0.46527257561683655,0.005480813328176737,0.0032069359440356493,0,0,0.005461141001433134,0.01809348724782467,0.01720162108540535,0.01630975306034088,127.97831726074219,1.3330770526081324,0.16663354076445103,1234,0.01136559434235096,4.220053142489633e-06,0.9974676370620728,2.9463870525360107,1,0.7245723009109497,0.2076772004365921,0.0737917572259903,0,0,0.17344462871551514,0.2067258208990097,0.031860481947660446,-0.1674431562423706,0.0028175106272101402,5.1414044719422236e-05,127.97831726074219,1.4050030708312988
128.03549194335938,128.03549194335938,1.5017778873443604,1.0,0.0,1.8042263984680176,0.6349838972091675,1.27774178981781,,1,2.1436901092529297,1.7944576740264893,0.5349119901657104,0,0,1.0434980392456055,0.21812717616558075,0.10299160331487656,-0.24923403561115265,1,0.3123166263103485,0.27129003405570984,0.07652293145656586,0,0,0.19015929102897644,0.256289541721344,0.042007312178611755,-0.26569727063179016,face_005,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,6,300,0.8455125093460083,0.6216466426849365,0.019798850640654564,0.0,-128.03549194335938,instruct,0.3864445686340332,0.00039199445745907724,0,0,0,132,vae_conditioning,5.107464790344238,add headphones,4.129127922057537,34.06720073571267,1,0.5293632745742798,0.026384174823760986,0.018186429515480995,0,0,0.02633359655737877,0.04451167583465576,0.0439104363322258,0.04330919682979584,128.03549194335938,1.4852595087140799,0.14905785210430622,1234,0.012332767248153687,4.218963113089558e-06,0.997035801410675,2.2689666748046875,1,0.4183722734451294,0.2415105551481247,0.08451499044895172,0,0,0.19218763709068298,0.2213863581418991,0.03591405227780342,-0.18369852006435394,0.00281880097463727,5.646105273626745e-05,128.03549194335938,1.5017778873443604
128.11721801757812,128.11721801757812,1.5319725275039673,1.0,0.0,1.786765456199646,0.6744437217712402,1.4482781887054443,,1,2.1993911266326904,1.7823690176010132,0.5484358072280884,0,0,1.137477993965149,0.20334354043006897,0.10445188730955124,-0.26599568128585815,1,0.3380943238735199,0.2667812407016754,0.08401153236627579,0,0,0.21103732287883759,0.2684116065502167,0.04404139518737793,-0.26908403635025024,face_005,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,7,300,0.8421741127967834,0.6217232942581177,0.020230963826179504,0.0,-128.11721801757812,instruct,0.38653987646102905,0.0004092919116374105,0,0,0,132,vae_conditioning,5.107464790344238,add headphones,4.128056964839216,33.879668377293925,1,0.1319732666015625,0.06831858307123184,0.046883419156074524,0,0,0.0681668296456337,0.0714622437953949,0.06664307415485382,0.06182390823960304,128.11721801757812,1.635628616437316,0.14721812307834625,1234,0.012709986418485641,4.217398327455157e-06,0.9969049692153931,2.265150785446167,1,0.40232038497924805,0.26886001229286194,0.09249931573867798,0,0,0.20763130486011505,0.21555456519126892,0.03823039308190346,-0.20079457759857178,0.002822880633175373,5.794682147097774e-05,128.11721801757812,1.5319725275039673
128.1780548095703,128.1780548095703,1.5198026895523071,1.0,0.0,2.022547721862793,0.6984895467758179,1.5725865364074707,,1,1.9201310873031616,1.771436095237732,0.5541589856147766,0,0,1.2487764358520508,0.22310683131217957,0.10355493426322937,-0.25951865315437317,1,0.3025106191635132,0.27108898758888245,0.08787281066179276,0,0,0.2227703034877777,0.27012231945991516,0.04571963846683502,-0.26230502128601074,face_005,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,8,300,0.8414040207862854,0.6218171715736389,0.020411115139722824,0.0,-128.1780548095703,instruct,0.38665661215782166,0.0004166135913692415,0,0,0,132,vae_conditioning,5.107464790344238,add headphones,4.126745586164077,33.80266565976416,1,0.5610606074333191,0.1051013171672821,0.07177837193012238,0,0,0.10484938323497772,0.0852070301771164,0.0735291838645935,0.061851345002651215,128.1780548095703,1.7859708964824677,0.14693533070385456,1234,0.012869717553257942,4.21555796492612e-06,0.9968494772911072,2.053030490875244,1,0.3488963544368744,0.29236936569213867,0.09595485031604767,0,0,0.21965084969997406,0.20086583495140076,0.039708998054265976,-0.21931158006191254,0.00282690254971385,5.7837285567075014e-05,128.1780548095703,1.5198026895523071
128.24563598632812,128.24563598632812,1.5110254287719727,1.0,0.0,2.1837594509124756,0.7045344114303589,1.644010305404663,,1,1.991712212562561,1.7592425346374512,0.5507335662841797,0,0,1.3196687698364258,0.247576504945755,0.1037471741437912,-0.2527449131011963,1,0.4059917628765106,0.27382129430770874,0.09078904986381531,0,0,0.23062673211097717,0.2671142518520355,0.046115975826978683,-0.2514761686325073,face_005,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,9,300,0.8425291776657104,0.6219034790992737,0.020379936322569847,0.0,-128.24563598632812,instruct,0.38676390051841736,0.0004153418121859431,0,0,0,132,vae_conditioning,5.107464790344238,add headphones,4.125540685530737,33.81594346550648,1,0.8642869591712952,0.11841724067926407,0.08020977675914764,0,0,0.11813092231750488,0.08319778740406036,0.06545950472354889,0.047721222043037415,128.24563598632812,1.9401500206440687,0.15075495652854443,1234,0.012771894223988056,4.213828106003348e-06,0.996859073638916,2.2635436058044434,1,0.49486443400382996,0.3102453052997589,0.09825344383716583,0,0,0.23488633334636688,0.18327884376049042,0.04073420912027359,-0.2309686541557312,0.0028329414781183004,5.7172645028913394e-05,128.24563598632812,1.5110254287719727
128.26544189453125,128.26544189453125,1.4508841037750244,1.0,0.0,2.2461438179016113,0.7092249989509583,1.6735713481903076,,1,2.4405081272125244,1.8058005571365356,0.5542206764221191,0,0,1.4060184955596924,0.25360509753227234,0.10380416363477707,-0.2641878128051758,1,0.41071951389312744,0.27583080530166626,0.09301154315471649,0,0,0.2308409959077835,0.2587369680404663,0.04725765064358711,-0.2610844671726227,face_005,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,10,300,0.8396229147911072,0.6219671368598938,0.020527468994259834,0.0,-128.26544189453125,instruct,0.38684314489364624,0.0004213770153000951,0,0,0,132,vae_conditioning,5.107464790344238,add headphones,4.124650947123926,33.753291573861475,1,0.4267261028289795,0.10844878107309341,0.07257811725139618,0,0,0.1081632450222969,0.07448238134384155,0.05370914191007614,0.03293590247631073,128.26544189453125,2.0906710624694824,0.1470994781702757,1234,0.012759694829583168,4.212663043290377e-06,0.9968136548995972,2.5666685104370117,1,0.5300198793411255,0.31483420729637146,0.09948933869600296,0,0,0.23875798285007477,0.18743205070495605,0.04185248911380768,-0.25649499893188477,0.0028330343775451183,5.541982682188973e-05,128.26544189453125,1.4508841037750244
