Z,Z_to_blank_objective,Z_to_original_objective_diagnostic,backward_scale,blank_value,combined_max_disp_px,combined_mean_disp_px,combined_p95_disp_px,components_at_boundary,dct_grad_norm,dct_max_disp,dct_mean_disp,dct_num_at_max,dct_num_at_min,dct_p95_disp,dct_param_max,dct_param_mean_abs,dct_param_min,delaunay_grad_norm,delaunay_max_disp,delaunay_mean_disp,delaunay_num_at_max,delaunay_num_at_min,delaunay_p95_disp,delaunay_param_max,delaunay_param_mean_abs,delaunay_param_min,face_id,fft_phase_grad_norm,fft_phase_max_abs,fft_phase_mean_abs,fft_phase_norm,fft_phase_num_at_max,fft_phase_num_at_min,fft_phase_num_clamped,fft_spatial_delta_mse,foldover_fraction,fraction_clamped_total,iter,iteration_count,jacobian_det_min,l2_to_blank,l2_to_original,legacy_fft_strength_equivalent,loss,model_name,mse_to_blank,mse_to_original,num_at_max_total,num_at_min_total,num_clamped_total,num_total_params,objective_name,peak_vram_gb,prompt,psnr_to_blank,psnr_to_original,rolling_grad_norm,rolling_max_disp,rolling_mean_disp,rolling_num_at_max,rolling_num_at_min,rolling_p95_disp,rolling_param_max,rolling_param_mean_abs,rolling_param_min,scaled_Z,seconds_elapsed,seconds_iter,seed,smoothness_tv,ssim_to_blank,ssim_to_original,total_grad_norm,tps_grad_norm,tps_max_disp,tps_mean_disp,tps_num_at_max,tps_num_at_min,tps_p95_disp,tps_param_max,tps_param_mean_abs,tps_param_min,unet_prediction_Z_to_blank,unet_prediction_Z_to_original_diagnostic,vae_conditioning_Z_to_blank,vae_conditioning_Z_to_original_diagnostic
127.88810729980469,127.88810729980469,8.657594662508927e-06,1.0,0.0,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,,3.1319868564605713,9.999999974752427e-07,9.999999974752427e-07,0,0,9.999999974752427e-07,0.05000000074505806,0.04999999701976776,-0.05000000074505806,0.5719218254089355,9.999999974752427e-07,9.999999974752427e-07,0,0,9.999999974752427e-07,0.04999999329447746,0.01799999363720417,-0.04999999701976776,face_005,0.8434836864471436,0.0,0.0,0.0,0,0,0,3.006161603826517e-14,0.0,0.0,1,150,1.0,0.6220681071281433,9.999999974752427e-07,0.0,-127.88810729980469,instruct,0.3869687020778656,1.2780610445829732e-13,0,0,0,324,vae_conditioning,5.139936923980713,add headphones,4.123241591788732,100.0,0.06497099250555038,9.999999974752427e-07,9.999999974752427e-07,0,0,9.999999974752427e-07,0.049999989569187164,0.049999989569187164,0.049999985843896866,127.88810729980469,0.7148312777280807,0.15754535607993603,1234,0.0,4.201991487207124e-06,1.0,3.3577492237091064,0.6498907208442688,9.999999974752427e-07,9.999999974752427e-07,0,0,9.999999974752427e-07,0.04999999329447746,0.017999982461333275,-0.05000000074505806,0.002739951480180025,1.3965107825697487e-07,127.88810729980469,8.657594662508927e-06
128.08399963378906,128.08399963378906,0.5704478025436401,1.0,0.0,0.7086663246154785,0.2633754312992096,0.5121452808380127,,2.5164051055908203,0.71726393699646,0.21438410878181458,0,0,0.4806033670902252,0.09935732185840607,0.06935674697160721,-0.10004620254039764,0.5342986583709717,0.0707106739282608,0.032592207193374634,0,0,0.07071065157651901,0.10006610304117203,0.025637740269303322,-0.09877553582191467,face_005,0.7022150754928589,0.09280108660459518,0.03718250244855881,0.04227061569690704,0,0,0,9.501175554760266e-06,0.0,0.0,2,150,0.9377946853637695,0.6218791604042053,0.008133729919791222,11835.5576171875,-128.08399963378906,instruct,0.3867337107658386,6.615756137762219e-05,0,0,0,324,vae_conditioning,5.139936923980713,add headphones,4.125879697384694,41.79420511613931,0.41835254430770874,0.07755449414253235,0.05327606201171875,0,0,0.07739786058664322,0.01901010237634182,0.01839366741478443,0.017777232453227043,128.08399963378906,0.877376738935709,0.1590576060116291,1234,0.005068359896540642,4.212615294818534e-06,0.9994997978210449,2.768136739730835,0.61374831199646,0.07272312045097351,0.04062189906835556,0,0,0.07017350941896439,0.10006329417228699,0.02179577946662903,-0.09485109895467758,0.00279899500310421,2.0339663024060428e-05,128.08399963378906,0.5704478025436401
128.10658264160156,128.10658264160156,0.9787113666534424,1.0,0.0,1.1535756587982178,0.3781796395778656,0.6913635730743408,,2.3878204822540283,1.1533985137939453,0.33029699325561523,0,0,0.6739584803581238,0.14885184168815613,0.08170944452285767,-0.14959760010242462,0.41183313727378845,0.14026381075382233,0.04598959907889366,0,0,0.0995669886469841,0.1490606665611267,0.029752973467111588,-0.14392921328544617,face_005,6.27008056640625,0.19029752910137177,0.05961580574512482,0.06971495598554611,0,0,0,3.269095759605989e-05,0.0,0.0,3,150,0.9138302803039551,0.6213623881340027,0.012402702122926712,18976.298828125,-128.10658264160156,instruct,0.3860912322998047,0.0001538270153105259,0,0,0,324,vae_conditioning,5.139936923980713,add headphones,4.133100606060688,38.129673864462895,0.2587798833847046,0.0283221323043108,0.01950051821768284,0,0,0.028268612921237946,0.001283950754441321,0.01149730384349823,-0.021710656583309174,128.10658264160156,1.040252160280943,0.15945270098745823,1234,0.007803393993526697,4.229064415994799e-06,0.9988371729850769,6.744984149932861,0.49258798360824585,0.11939825862646103,0.05262874811887741,0,0,0.10207530111074448,0.1499871462583542,0.024571919813752174,-0.11168776452541351,0.0028191879391670227,3.641314833657816e-05,128.10658264160156,0.9787113666534424
128.22129821777344,128.22129821777344,1.3416001796722412,1.0,0.0,1.3851423263549805,0.4767167568206787,0.8640175461769104,,2.0657293796539307,1.3703646659851074,0.4212576150894165,0,0,0.8136441707611084,0.19041572511196136,0.0852249339222908,-0.176660418510437,0.22029012441635132,0.19694730639457703,0.05595213174819946,0,0,0.12833929061889648,0.18150943517684937,0.0320744663476944,-0.19061489403247833,face_005,4.931796073913574,0.28806859254837036,0.06987110525369644,0.08512275665998459,0,0,0,5.345296085579321e-05,0.0,0.0,4,150,0.9017711877822876,0.621157705783844,0.015772556886076927,22240.662109375,-128.22129821777344,instruct,0.3858369290828705,0.00024877357645891607,0,0,0,324,vae_conditioning,5.139936923980713,add headphones,4.135962076683612,36.04195750217172,0.36269301176071167,0.021072397008538246,0.012717511504888535,0,0,0.020998531952500343,0.0016297039110213518,0.014906300231814384,-0.028182895854115486,128.22129821777344,1.2015711087733507,0.15794841013848782,1234,0.009607849642634392,4.23400524596218e-06,0.9981194734573364,5.369843482971191,0.2555271089076996,0.15504015982151031,0.06388194859027863,0,0,0.1385696530342102,0.17944185435771942,0.027826406061649323,-0.12963464856147766,0.0028241719119250774,5.0221940909978e-05,128.22129821777344,1.3416001796722412
128.27499389648438,128.27499389648438,1.519815444946289,1.0,0.0,1.3709039688110352,0.5312139391899109,0.9898601770401001,,2.6737287044525146,1.3566968441009521,0.4622587561607361,0,0,0.8925528526306152,0.23489679396152496,0.08554587513208389,-0.18029586970806122,0.4282510578632355,0.23210535943508148,0.06350913643836975,0,0,0.15390655398368835,0.21025027334690094,0.03431982547044754,-0.23443903028964996,face_005,6.6709184646606445,0.36449921131134033,0.07730261236429214,0.09674231708049774,0,0,0,6.868876516819e-05,0.0,0.0,5,150,0.8949574828147888,0.6202696561813354,0.017565937712788582,24606.185546875,-128.27499389648438,instruct,0.38473448157310486,0.00030856215744279325,0,0,0,324,vae_conditioning,5.139936923980713,add headphones,4.14838888593529,35.10657337577896,0.5636603832244873,0.027372688055038452,0.016525451093912125,0,0,0.02727578580379486,0.01881401427090168,0.016007080674171448,-0.01320014800876379,128.27499389648438,1.3638133089989424,0.15887806378304958,1234,0.01026112213730812,4.256385182088707e-06,0.997675359249115,7.2418437004089355,0.5414885878562927,0.18771223723888397,0.07271197438240051,0,0,0.16243405640125275,0.19216269254684448,0.030293669551610947,-0.14563731849193573,0.00282459519803524,5.79980478505604e-05,128.27499389648438,1.519815444946289
128.7605743408203,128.7605743408203,1.6673362255096436,1.0,0.0,1.3858381509780884,0.5559511184692383,1.0301733016967773,,2.330519199371338,1.341840386390686,0.4754592180252075,0,0,0.9117862582206726,0.27602556347846985,0.08501018583774567,-0.1719280183315277,0.2855672240257263,0.2428346872329712,0.0687384232878685,0,0,0.17199142277240753,0.2437654584646225,0.034710921347141266,-0.24437566101551056,face_005,4.532166481018066,0.42003193497657776,0.08199763298034668,0.10383611917495728,0,0,0,0.00010189267050009221,0.0,0.0,6,150,0.8997578024864197,0.6184968948364258,0.019068265333771706,26100.65625,-128.7605743408203,instruct,0.38253840804100037,0.0003635987523011863,0,0,0,324,vae_conditioning,5.139936923980713,add headphones,4.1732495381008325,34.39377615740608,0.3489025831222534,0.015116946771740913,0.004562966525554657,0,0,0.012979038991034031,0.04179966822266579,0.02541510947048664,0.009030550718307495,128.7605743408203,1.5254113283008337,0.15825314819812775,1234,0.010457910597324371,4.29834426540765e-06,0.9973033666610718,5.1300201416015625,0.3767895996570587,0.19708509743213654,0.07873085141181946,0,0,0.1732683628797531,0.2045259177684784,0.03111226297914982,-0.1623784303665161,0.00283474987372756,6.438296986743808e-05,128.7605743408203,1.6673362255096436
129.31597900390625,129.31597900390625,1.876145362854004,1.0,0.0,1.4720910787582397,0.5610893368721008,1.1092361211776733,,2.065208673477173,1.3997917175292969,0.47393813729286194,0,0,0.9115480184555054,0.30330267548561096,0.08249819278717041,-0.1615593135356903,0.3499029278755188,0.2449956089258194,0.07044140249490738,0,0,0.17856460809707642,0.2703600525856018,0.03448230028152466,-0.23668904602527618,face_005,4.8649373054504395,0.48698848485946655,0.08633707463741302,0.11080798506736755,0,0,0,0.00023717012663837522,0.0,0.0,7,150,0.9165588617324829,0.614821195602417,0.022375397384166718,27481.943359375,-129.31597900390625,instruct,0.37800511717796326,0.0005006584106013179,0,0,0,324,vae_conditioning,5.139936923980713,add headphones,4.225023209376163,33.00458483689036,0.09223414957523346,0.04094725102186203,0.024466678500175476,0,0,0.04026690125465393,0.06379449367523193,0.04469432681798935,0.025594161823391914,129.31597900390625,1.6884103957563639,0.15962201915681362,1234,0.010158928111195564,4.38804590885411e-06,0.9964662790298462,5.311529636383057,0.38561883568763733,0.20740920305252075,0.0812024474143982,0,0,0.1748477667570114,0.2128540277481079,0.030533136799931526,-0.17386503517627716,0.0028488989919424057,7.386459037661552e-05,129.31597900390625,1.876145362854004
129.81588745117188,129.81588745117188,2.315971851348877,1.0,0.0,1.573456883430481,0.5525015592575073,1.136667251586914,,1.8057955503463745,1.475246548652649,0.4654872417449951,0,0,0.9059261679649353,0.32873547077178955,0.0794173926115036,-0.15603439509868622,0.22194883227348328,0.26991644501686096,0.069798544049263,0,0,0.18129198253154755,0.2827765643596649,0.034884922206401825,-0.2313517928123474,face_005,6.634611129760742,0.5677551031112671,0.09076064825057983,0.11865118145942688,0,0,0,0.0006692672031931579,0.0,0.0,8,150,0.9129418134689331,0.6087968349456787,0.030414659529924393,28890.009765625,-129.81588745117188,instruct,0.370633602142334,0.0009250515140593052,0,0,0,324,vae_conditioning,5.139936923980713,add headphones,4.310552095086079,30.338340816947465,0.44609302282333374,0.06608465313911438,0.044575899839401245,0,0,0.06602869927883148,0.07437040656805038,0.05059414356946945,0.02681788243353367,129.81588745117188,1.854267679154873,0.1624593362212181,1234,0.009791504591703415,4.533135779638542e-06,0.9939064979553223,6.900446891784668,0.2982243597507477,0.21452340483665466,0.07957357168197632,0,0,0.17172345519065857,0.20411552488803864,0.02976878359913826,-0.17961539328098297,0.002849808195605874,9.267323184758425e-05,129.81588745117188,2.315971851348877
130.55609130859375,130.55609130859375,3.1526663303375244,1.0,0.0,1.6731864213943481,0.5372203588485718,1.159777045249939,,2.608290195465088,1.5622375011444092,0.46002626419067383,0,0,0.9210741519927979,0.360451877117157,0.07605263590812683,-0.1550789326429367,0.4940029978752136,0.2822531759738922,0.0691525936126709,0,0,0.1806529313325882,0.28554439544677734,0.03596154600381851,-0.25889331102371216,face_005,5.2606635093688965,0.6604968309402466,0.09518548101186752,0.127311572432518,0,0,0,0.0017430807929486036,0.0,0.0,9,150,0.9104893803596497,0.6007593274116516,0.04464689642190933,30298.478515625,-130.55609130859375,instruct,0.3609117865562439,0.0019933453295379877,0,0,0,324,vae_conditioning,5.139936923980713,add headphones,4.425989346410977,27.004174570841908,0.9862768054008484,0.07539185881614685,0.05011635273694992,0,0,0.07535039633512497,0.06285551190376282,0.036831848323345184,0.010808184742927551,130.55609130859375,2.018945036455989,0.16131864860653877,1234,0.009498107247054577,4.716659532277845e-06,0.9873618483543396,6.009059429168701,0.6436253786087036,0.20748744904994965,0.07741925865411758,0,0,0.16560198366641998,0.1865181177854538,0.029504895210266113,-0.1997876912355423,0.0028483057394623756,0.00012365035945549607,130.55609130859375,3.1526663303375244
131.32522583007812,131.32522583007812,4.424544334411621,1.0,0.0,1.7512586116790771,0.5264475345611572,1.16389000415802,,1.906156301498413,1.6514850854873657,0.46719062328338623,0,0,0.9642783403396606,0.37906286120414734,0.07908544689416885,-0.155866801738739,0.39427265524864197,0.28681033849716187,0.06910614669322968,0,0,0.17988909780979156,0.29265096783638,0.038780346512794495,-0.2765316665172577,face_005,4.8036370277404785,0.762795090675354,0.09971117973327637,0.1368514448404312,0,0,0,0.00396755151450634,0.0,0.0,10,150,0.9080992341041565,0.5906586647033691,0.0649188831448555,31739.052734375,-131.32522583007812,instruct,0.3488776683807373,0.004214460961520672,0,0,0,324,vae_conditioning,5.139936923980713,add headphones,4.573268288018491,23.75257964670912,0.33954107761383057,0.061031997203826904,0.035093825310468674,0,0,0.05961524695158005,0.04567985236644745,0.026907211169600487,-0.00813456904143095,131.32522583007812,2.1817215997725725,0.1594125684350729,1234,0.009570930153131485,4.929377610096708e-06,0.9737389087677002,5.214828014373779,0.46404123306274414,0.20820161700248718,0.07635414600372314,0,0,0.16254930198192596,0.19297273457050323,0.030977590009570122,-0.2169080674648285,0.0028374437242746353,0.0001663922448642552,131.32522583007812,4.424544334411621
