model,objective,code_objective,face_id,prompt,final_Z,final_loss,best_iter_by_Z,ssim_to_original,psnr_to_original,output_ssim,output_l2,max_disp_px,p95_disp_px,fraction_clamped,seconds_per_iter
InstructPix2Pix,VAE conditioning latent,vae_conditioning,face_002,add black sunglasses,127.53955841064453,-127.53955841064453,144,0.996120035648346,32.92738652197208,0.8895255923271179,0.03188460986755089,2.5789670944213867,1.5370128154754639,0.0,0.14893588991214832
InstructPix2Pix,VAE conditioning latent,vae_conditioning,face_002,add headphones,127.61166381835938,-127.61166381835938,145,0.9979948401451111,35.79533353030933,0.9045311808586121,0.031233633307788757,1.330500841140747,0.9591049551963806,0.0,0.1491043340911468
InstructPix2Pix,VAE conditioning latent,vae_conditioning,face_005,add black sunglasses,128.72781372070312,-128.72781372070312,135,0.9965733885765076,33.43185570505199,0.9274800419807434,0.027477722767887815,2.691072463989258,1.6022346019744873,0.0,0.1391589741036296
InstructPix2Pix,VAE conditioning latent,vae_conditioning,face_005,add headphones,128.765869140625,-128.765869140625,148,0.9955868721008301,32.33600857732196,0.8932233452796936,0.03815875519939237,3.1632425785064697,2.3667569160461426,0.0,0.1463866910710931
InstructPix2Pix,UNet denoising prediction,unet_prediction,face_002,add black sunglasses,0.002395227085798979,-0.002395227085798979,131,0.9945632219314575,31.469279400745393,0.8644440174102783,0.03642938023396101,3.96053147315979,2.1026010513305664,0.0,0.19492534713198742
InstructPix2Pix,UNet denoising prediction,unet_prediction,face_002,add headphones,0.002397258533164859,-0.002397258533164859,138,0.9949185848236084,31.76366262774634,0.8500496745109558,0.04118988365978655,3.0583102703094482,1.8082865476608276,0.0,0.18922181859612464
InstructPix2Pix,UNet denoising prediction,unet_prediction,face_005,add black sunglasses,0.0028582769446074963,-0.0028582769446074963,149,0.9951256513595581,31.90087993139041,0.9020962715148926,0.030999166975382148,4.379082679748535,2.5003998279571533,0.0,0.19061348906407755
InstructPix2Pix,UNet denoising prediction,unet_prediction,face_005,add headphones,0.0028614855837076902,-0.0028614855837076902,136,0.9949579238891602,31.752695805816916,0.881390392780304,0.03497249376314002,4.879116535186768,2.796436309814453,0.0,0.18577201411128044
